Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,510",,"4,510"
2002,11,"4,318",,"4,318"
2002,12,"4,683",27,"4,710"
2002,TOTAL,"50,902",27,"50,929"
2003,1,"4,712",81,"4,793"
2003,2,"4,303",72,"4,375"
2003,3,"4,574",74,"4,648"
2003,4,"4,831",71,"4,902"
2003,5,"4,789",72,"4,861"
2003,6,"4,786",68,"4,854"
2003,7,"5,055",50,"5,105"
2003,8,"5,021",53,"5,074"
2003,9,"4,864",34,"4,898"
2003,10,"5,119",34,"5,153"
2003,11,"4,974",96,"5,070"
2003,12,"5,386",156,"5,542"
2003,TOTAL,"58,414",861,"59,275"
2004,1,"5,308",155,"5,463"
2004,2,"5,001",158,"5,159"
2004,3,"5,590",173,"5,763"
2004,4,"5,403",162,"5,565"
2004,5,"5,705",172,"5,877"
2004,6,"6,005",162,"6,167"
2004,7,"6,593",180,"6,773"
2004,8,"6,326",119,"6,445"
2004,9,"5,622",74,"5,696"
2004,10,"5,804",156,"5,960"
2004,11,"5,465",291,"5,756"
2004,12,"5,953",389,"6,342"
2004,TOTAL,"68,775","2,191","70,966"
2005,1,"5,775",390,"6,165"
2005,2,"5,134",340,"5,474"
2005,3,"6,152",403,"6,555"
2005,4,"5,655",346,"6,001"
2005,5,"6,287",314,"6,601"
2005,6,"6,442",288,"6,730"
2005,7,"7,119",225,"7,344"
2005,8,"6,931",144,"7,075"
2005,9,"6,474",200,"6,674"
2005,10,"6,719",141,"6,860"
2005,11,"6,406",169,"6,575"
2005,12,"6,814",385,"7,199"
2005,TOTAL,"75,908","3,345","79,253"
2006,1,"6,902",409,"7,311"
2006,2,"6,253",375,"6,628"
2006,3,"7,020",524,"7,544"
2006,4,"6,889",469,"7,358"
2006,5,"7,709",380,"8,089"
2006,6,"7,680",375,"8,055"
2006,7,"8,280",320,"8,600"
2006,8,"8,380",191,"8,571"
2006,9,"7,920",144,"8,064"
2006,10,"8,049",172,"8,221"
2006,11,"7,460",294,"7,754"
2006,12,"6,960",586,"7,546"
2006,TOTAL,"89,502","4,239","93,741"
2007,1,"7,758",646,"8,404"
2007,2,"7,082",588,"7,670"
2007,3,"8,067",837,"8,904"
2007,4,"7,864",687,"8,551"
2007,5,"8,494",639,"9,133"
2007,6,"8,376",686,"9,062"
2007,7,"9,034",527,"9,561"
2007,8,"8,812",446,"9,258"
2007,9,"7,966",369,"8,335"
2007,10,"8,300",377,"8,677"
2007,11,"7,867",509,"8,376"
2007,12,"7,941",809,"8,750"
2007,TOTAL,"97,561","7,120","104,681"
2008,1,"7,700",677,"8,377"
2008,2,"7,088",589,"7,677"
2008,3,"7,950",765,"8,715"
2008,4,"7,922",513,"8,435"
2008,5,"8,591",412,"9,003"
2008,6,"8,612",361,"8,973"
2008,7,"9,355",203,"9,558"
2008,8,"9,026",176,"9,202"
2008,9,"7,512",104,"7,616"
2008,10,"7,583",142,"7,725"
2008,11,"7,118",274,"7,392"
2008,12,"7,364",402,"7,766"
2008,TOTAL,"95,821","4,618","100,439"
2009,1,"7,238",434,"7,672"
2009,2,"6,511",382,"6,893"
2009,3,"7,191",412,"7,603"
2009,4,"7,045",372,"7,417"
2009,5,"7,706",200,"7,906"
2009,6,"7,671",136,"7,807"
2009,7,"7,878",140,"8,018"
2009,8,"7,845",138,"7,983"
2009,9,"7,227",76,"7,303"
2009,10,"7,146",137,"7,283"
2009,11,"6,152",246,"6,398"
2009,12,"5,940",344,"6,284"
2009,TOTAL,"85,550","3,017","88,567"
2010,1,"5,887",432,"6,319"
2010,2,"5,626",382,"6,008"
2010,3,"6,782",408,"7,190"
2010,4,"6,731",344,"7,075"
2010,5,"7,101",154,"7,255"
2010,6,"7,211",140,"7,351"
2010,7,"7,478",165,"7,643"
2010,8,"7,366",135,"7,501"
2010,9,"6,848",84,"6,932"
2010,10,"6,696",138,"6,834"
2010,11,"6,318",242,"6,560"
2010,12,"6,410",356,"6,766"
2010,TOTAL,"80,454","2,980","83,434"
2011,1,"6,217",474,"6,691"
2011,2,"5,758",414,"6,172"
2011,3,"6,777",481,"7,258"
2011,4,"6,401",432,"6,833"
2011,5,"7,249",160,"7,409"
2011,6,"7,604",148,"7,752"
2011,7,"7,857",167,"8,024"
2011,8,"8,207",128,"8,335"
2011,9,"7,510",76,"7,586"
2011,10,"7,375",120,"7,495"
2011,11,"6,963",228,"7,191"
2011,12,"7,103",333,"7,436"
2011,TOTAL,"85,021","3,161","88,182"
2012,1,"6,443",324,"6,767"
2012,2,"5,948",475,"6,423"
2012,3,"6,762",564,"7,326"
2012,4,"6,263",331,"6,594"
2012,5,"6,788",132,"6,920"
2012,6,"6,961",149,"7,110"
2012,7,"7,256",147,"7,403"
2012,8,"7,085",106,"7,191"
2012,9,"6,306",80,"6,386"
2012,10,"6,559",95,"6,654"
2012,11,"6,194",269,"6,463"
2012,12,"6,304",315,"6,619"
2012,TOTAL,"78,869","2,987","81,856"
2013,1,"5,775",319,"6,094"
2013,2,"5,181",309,"5,490"
2013,3,"5,838",359,"6,197"
2013,4,"5,827",259,"6,086"
2013,5,"6,562",137,"6,699"
2013,6,"6,553",164,"6,717"
2013,7,"6,796",181,"6,977"
2013,8,"6,860",128,"6,988"
2013,9,"6,467",78,"6,545"
2013,10,"6,466",119,"6,585"
2013,11,"6,252",203,"6,455"
2013,12,"6,456",294,"6,750"
2013,TOTAL,"75,033","2,550","77,583"
2014,1,"5,650",343,"5,993"
2014,2,"5,171",335,"5,506"
2014,3,"6,027",394,"6,421"
2014,4,"5,965",332,"6,297"
2014,5,"7,268",148,"7,416"
2014,6,"7,551",160,"7,711"
2014,7,"8,039",162,"8,201"
2014,8,"8,009",119,"8,128"
2014,9,"7,911",77,"7,988"
2014,10,"8,137",88,"8,225"
2014,11,"7,664",179,"7,843"
2014,12,"7,797",255,"8,052"
2014,TOTAL,"85,189","2,592","87,781"
2015,1,"6,840",368,"7,208"
2015,2,"5,803",356,"6,159"
2015,3,"6,944",335,"7,279"
2015,4,"7,161",254,"7,415"
2015,5,"8,126",90,"8,216"
2015,6,"7,911",95,"8,006"
2015,7,"8,095",88,"8,183"
2015,8,"8,154",100,"8,254"
2015,9,"7,875",104,"7,979"
2015,10,"8,264",171,"8,435"
2015,11,"7,763",390,"8,153"
2015,12,"8,111",194,"8,305"
2015,TOTAL,"91,047","2,545","93,592"
2016,1,"7,099",501,"7,600"
2016,2,"6,549",464,"7,013"
2016,3,"6,887",489,"7,376"
2016,4,"7,092",358,"7,450"
2016,5,"7,904",276,"8,180"
2016,6,"8,101",266,"8,367"
2016,7,"8,997",274,"9,271"
2016,8,"8,900",228,"9,128"
2016,9,"8,614",188,"8,802"
2016,10,"8,577",207,"8,784"
2016,11,"7,707",426,"8,133"
2016,12,"7,649",514,"8,163"
2016,TOTAL,"94,076","4,191","98,267"
2017,1,"7,609",536,"8,145"
2017,2,"6,662",488,"7,150"
2017,3,"7,657",538,"8,195"
2017,4,"7,795",476,"8,271"
2017,5,"8,622",400,"9,022"
2017,6,"8,888",332,"9,220"
2017,7,"9,569",338,"9,907"
2017,8,"9,132",286,"9,418"
2017,9,"8,401",246,"8,647"
2017,10,"9,224",257,"9,481"
2017,11,"9,139",460,"9,599"
2017,12,"9,437",588,"10,025"
2017,TOTAL,"102,135","4,945","107,080"
2018,1,"9,549",609,"10,158"
2018,2,"8,590",487,"9,077"
2018,3,"9,200",532,"9,732"
2018,4,"9,577",378,"9,955"
2018,5,"10,257",345,"10,602"
2018,6,"9,979",357,"10,336"
2018,7,"10,290",370,"10,660"
2018,8,"10,465",324,"10,789"
2018,9,"10,054",265,"10,319"
2018,10,"10,363",256,"10,619"
2018,11,"9,498",373,"9,871"
2018,12,"9,844",479,"10,323"
2018,TOTAL,"117,666","4,775","122,441"
2019,1,"9,500",561,"10,061"
2019,2,"8,641",519,"9,160"
2019,3,"9,661",588,"10,249"
2019,4,"9,605",561,"10,166"
2019,5,"11,282",474,"11,756"
2019,6,"11,358",467,"11,825"
2019,7,"12,263",484,"12,747"
2019,8,"12,264",304,"12,568"
2019,9,"11,893",195,"12,088"
2019,10,"12,568",200,"12,768"
2019,11,"12,146",302,"12,448"
2019,12,"12,145",407,"12,552"
2019,TOTAL,"133,326","5,062","138,388"
2020,1,"12,319",511,"12,830"
2020,2,"11,445",515,"11,960"
2020,3,"10,011",457,"10,468"
2020,4,"1,432",,"1,432"
2020,5,"2,858",,"2,858"
2020,6,"4,748",,"4,748"
2020,7,"7,293",20,"7,313"
2020,8,"7,069",72,"7,141"
2020,9,"6,726",70,"6,796"
2020,10,"7,897",74,"7,971"
2020,11,"7,418",159,"7,577"
2020,12,"7,296",262,"7,558"
2020,TOTAL,"86,512","2,140","88,652"
2021,1,"6,242",275,"6,517"
2021,2,"6,482",354,"6,836"
2021,3,"10,562",494,"11,056"
2021,4,"10,828",543,"11,371"
2021,5,"11,932",545,"12,477"
2021,6,"12,471",800,"13,271"
2021,7,"13,017",989,"14,006"
2021,8,"13,094",765,"13,859"
2021,9,"12,077",478,"12,555"
2021,10,"12,911",587,"13,498"
2021,11,"12,808",921,"13,729"
2021,12,"12,943","1,349","14,292"
2021,TOTAL,"135,367","8,100","143,467"
2022,1,"11,506","1,332","12,838"
2022,2,"10,656","1,258","11,914"
2022,3,"12,317","1,504","13,821"
2022,4,"11,783","1,427","13,210"
2022,5,"12,490","1,396","13,886"
2022,6,"12,294","1,456","13,750"
2022,7,"12,992","1,542","14,534"
2022,8,"13,206","1,262","14,468"
2022,9,"12,945",661,"13,606"
2022,10,"14,276",566,"14,842"
2022,11,"13,389",875,"14,264"
2022,12,"13,234","1,071","14,305"
2022,TOTAL,"151,088","14,350","165,438"
2023,1,"12,855","1,112","13,967"
2023,2,"12,333","1,018","13,351"
2023,3,"14,246","1,143","15,389"
2023,4,"13,569","1,160","14,729"
2023,TOTAL,"53,003","4,433","57,436"